"gender" "weight" "height" "duration" "calories" "fat" "water" "level" "bmi"
"33" "Female" 50.2 1.61 1.48 1046 28.2 2.7 "1" 19.37
"34" "Female" 58.9 1.51 1.04 816 31.7 2.5 "1" 25.83
"35" "Male" 81.4 1.71 1.52 1237 10.2 3.5 "3" 27.84
"36" "Male" 127.6 1.73 1.32 1162 27.3 2.9 "1" 42.63
"37" "Female" 59.3 1.56 1.26 879 33.4 2.6 "2" 24.37
"38" "Male" 96.9 1.71 1.34 1069 24.2 2.9 "2" 33.14
"39" "Male" 62.6 1.81 1.3 1072 27.6 3.5 "2" 19.11
"40" "Male" 45.5 1.6 1.31 1057 21.7 2.6 "2" 17.77
"41" "Female" 48.8 1.51 1.48 969 28.2 2 "1" 21.4
"42" "Female" 44.3 1.6 1.08 734 34.7 2 "1" 17.3
"43" "Male" 113.2 1.83 1.45 962 29.9 2.9 "2" 33.8
"44" "Female" 60.5 1.59 1.14 730 30.1 2.2 "1" 23.93
"45" "Male" 124.2 1.76 1.5 1304 29.3 2.8 "1" 40.1
"46" "Male" 52.4 1.85 1.2 956 25.2 2.5 "1" 15.31
"47" "Male" 54.7 1.74 0.84 772 22.9 3.6 "1" 18.07
"48" "Male" 88.1 1.95 1.41 1016 22.7 3 "1" 23.17
"49" "Female" 59.7 1.71 1.23 836 34.3 2 "1" 20.42
"50" "Female" 79.7 1.54 1.03 742 26.7 2.3 "2" 33.61
"51" "Female" 51 1.62 1.42 1122 30.8 2.4 "2" 19.43
"52" "Male" 84.2 1.76 1.67 1133 12.8 3.5 "3" 27.18
"53" "Male" 122.1 1.89 1.13 750 27.4 3.6 "1" 34.18
"54" "Male" 96.7 1.72 1.26 1046 25 2.8 "1" 32.69
"55" "Female" 73 1.79 0.81 506 27.7 1.6 "1" 22.78
"56" "Male" 114.8 1.6 1.47 1318 21.7 2.7 "2" 44.84
"57" "Female" 65.5 1.52 1.4 1021 31.2 2.1 "2" 28.35
"58" "Female" 50.3 1.52 1.08 832 32.2 2.6 "1" 21.77
"59" "Female" 61 1.71 1.67 1150 17.8 2.7 "3" 20.86
"60" "Female" 44.6 1.62 0.56 440 32.4 2 "1" 16.99
"61" "Female" 58.2 1.61 1.04 580 26.4 2.6 "2" 22.45
"62" "Female" 44.8 1.63 1.08 666 33.8 2.1 "2" 16.86
"63" "Male" 87.5 1.63 1.75 1299 12.9 3.5 "3" 32.93
"64" "Male" 51.8 1.74 1.23 773 21.3 3.7 "2" 17.11
"65" "Female" 64.4 1.7 1.97 1418 17.3 2.7 "3" 22.28
"66" "Female" 67.1 1.61 0.62 421 33.4 1.5 "1" 25.89
"67" "Male" 85.9 1.6 1.99 1587 14.5 3.5 "3" 33.55
"68" "Female" 65.4 1.77 0.89 627 27.6 2.6 "1" 20.88
"69" "Female" 61.1 1.76 1.81 1358 18.6 2.7 "3" 19.72
"70" "Male" 106.5 1.65 1.32 1176 21 3.6 "2" 39.12
"71" "Female" 64 1.52 1.73 1004 15.2 2.7 "3" 27.7
"72" "Female" 61.4 1.54 1.47 963 30.6 2.7 "2" 25.89
"73" "Female" 40.5 1.63 1.07 786 31.9 1.5 "2" 15.24
"74" "Male" 70.1 1.79 1.08 743 28 2.3 "2" 21.88
"75" "Male" 94.1 1.62 1.13 777 23.4 3.1 "2" 35.86
"76" "Male" 55.5 1.82 1.08 663 20.1 2 "1" 16.76
"77" "Female" 53.7 1.72 1.37 875 29.8 1.6 "1" 18.15
"78" "Female" 66.1 1.75 0.63 363 25.2 1.8 "1" 21.58
"79" "Male" 103.9 1.77 1.18 864 20.9 2.9 "1" 33.16
"80" "Female" 61.7 1.58 1.87 1262 16.6 2.7 "3" 24.72
"81" "Female" 52.3 1.74 1.2 990 29.4 2.2 "1" 17.27
"82" "Female" 59.5 1.74 1.78 1129 16.4 2.7 "3" 19.65
"83" "Female" 72.9 1.76 0.86 546 30.8 1.5 "1" 23.53
"84" "Female" 76.7 1.63 1.08 751 25.6 1.7 "1" 28.87
"85" "Male" 72.1 1.83 1.13 744 21.4 2.8 "2" 21.53
"86" "Female" 54.8 1.68 1.27 1003 32 2.2 "2" 19.42
"87" "Male" 105 1.88 1.34 1150 21.4 2.3 "2" 29.71
"88" "Female" 55 1.55 1.45 1103 31.4 2 "2" 22.89
"89" "Male" 81.6 1.66 1.09 917 20.5 3.5 "2" 29.61
"90" "Female" 75.6 1.6 0.64 416 29.1 2.7 "1" 29.53
"91" "Male" 81.5 1.61 1.93 1688 10.9 3.5 "3" 31.44
"92" "Female" 61.5 1.69 1.8 1231 15.5 2.7 "3" 21.53
"93" "Male" 74 1.63 1.26 936 25.7 3.7 "2" 27.85
"94" "Female" 56.4 1.59 1.26 924 34.3 2.6 "1" 22.31
"95" "Male" 102.6 1.84 1.25 1052 20.5 2.7 "2" 30.3
"96" "Female" 54.6 1.57 0.58 441 29.2 2.3 "1" 22.15
"97" "Male" 129 1.78 1.29 805 27.1 2.7 "1" 40.71
"98" "Male" 103.5 1.66 1.33 1106 24.6 3.1 "1" 37.56
"99" "Female" 59.4 1.51 1.15 735 33.1 1.9 "2" 26.05
"100" "Female" 60.1 1.79 1.97 1625 15.9 2.7 "3" 18.76
"101" "Male" 77.7 1.62 1.16 804 29.6 3 "2" 29.61
"102" "Female" 41.2 1.62 1.49 1073 28.9 2.1 "2" 15.7
"103" "Male" 58.6 1.61 1.2 805 23.4 2 "2" 22.61
"104" "Male" 109.3 1.78 0.54 420 28.7 3.3 "1" 34.5
"105" "Male" 69.6 1.96 0.97 667 25.6 2 "1" 18.12
"106" "Female" 56.2 1.79 1.79 1369 17.6 2.7 "3" 17.54
"107" "Male" 71.7 1.96 0.51 424 27.3 2.5 "1" 18.66
"108" "Male" 86 1.93 1.74 1404 12.9 3.5 "3" 23.09
"109" "Female" 79.4 1.59 1.39 1020 26.6 1.5 "2" 31.41
"110" "Female" 78.4 1.62 1.01 677 31.7 2 "2" 29.87
"111" "Female" 55.4 1.6 1.44 979 26.3 1.6 "2" 21.64
"112" "Female" 61.7 1.55 1.41 819 33.1 2.6 "2" 25.68
"113" "Male" 85.5 1.82 1.78 1357 14.9 3.5 "3" 25.81
"114" "Male" 87.6 1.93 1.72 1315 11.9 3.5 "3" 23.52
"115" "Male" 82.4 1.72 1.01 685 24.4 2.7 "2" 27.85
"116" "Male" 67 1.68 0.55 446 20.5 2.8 "1" 23.74
"117" "Female" 42.3 1.6 1.09 888 25.1 1.9 "2" 16.52
"118" "Male" 82.7 1.99 1.69 1357 14.6 3.5 "3" 20.88
"119" "Male" 92.4 1.74 1.41 1303 21.3 3.1 "1" 30.52
"120" "Female" 63.2 1.54 1.02 790 29.5 2.4 "2" 26.65
"121" "Male" 82.7 1.85 1.22 858 28.2 3.1 "2" 24.16
"122" "Male" 86.6 1.76 1.29 1071 28.9 3.3 "2" 27.96
"123" "Male" 129.5 1.95 1 639 25.2 3.5 "1" 34.06
"124" "Male" 98 1.83 1.28 824 25.7 3.5 "2" 29.26
"125" "Male" 86.2 1.68 1.97 1701 13.3 3.5 "3" 30.54
"126" "Male" 78.6 1.62 1.28 880 29.6 3.1 "1" 29.95
"127" "Female" 59 1.66 0.51 408 31 1.8 "1" 21.41
"128" "Female" 57.3 1.79 1.98 1479 17.8 2.7 "3" 17.88
"129" "Male" 122.3 1.89 0.66 500 20.1 3.1 "1" 34.24
"130" "Male" 85.3 1.95 1.61 1373 10.4 3.5 "3" 22.43
"131" "Female" 45.2 1.74 1.24 870 30.8 2.1 "2" 14.93
"132" "Male" 55.6 1.92 0.68 458 29.4 3.2 "1" 15.08
"133" "Male" 82.8 1.95 1.91 1503 14.3 3.5 "3" 21.78
"134" "Male" 125.2 1.66 1.38 1207 29.8 3.4 "2" 45.43
"135" "Female" 58.5 1.79 1.42 837 30.3 2.4 "2" 18.26
"136" "Male" 86.1 1.95 1.17 811 27.9 3.4 "1" 22.64
"137" "Female" 63.5 1.61 1.31 1041 33.4 1.6 "2" 24.5
"138" "Male" 69.3 1.68 0.66 451 26.5 2.1 "1" 24.55
"139" "Female" 70.5 1.62 1.24 756 28.4 1.8 "1" 26.86
"140" "Female" 60.1 1.65 1.69 1042 17.3 2.7 "3" 22.08
"141" "Male" 94.1 1.95 0.89 608 28.6 3.5 "1" 24.75
"142" "Female" 79.2 1.62 1.26 1046 28 2.5 "2" 30.18
"143" "Male" 115.3 1.91 1.38 854 29.2 3.2 "1" 31.61
"144" "Female" 62.9 1.79 1.42 958 27.3 2.3 "2" 19.63
"145" "Male" 62 1.64 0.97 678 27.5 3.2 "1" 23.05
"146" "Male" 88.5 1.78 1.53 1265 13.2 3.5 "3" 27.93
"147" "Female" 73.9 1.77 1.28 877 32.5 2.6 "2" 23.59
"148" "Male" 50.3 1.95 1.07 885 24.4 3.4 "1" 13.23
"149" "Male" 83.1 1.8 0.7 624 29.3 3.1 "1" 25.65
"150" "Female" 65.1 1.78 1.46 1038 31.3 2.3 "1" 20.55
"151" "Male" 46.6 1.79 1.46 1214 22.9 2.4 "2" 14.54
"152" "Male" 103.5 1.89 0.54 499 26.4 3.1 "1" 28.97
"153" "Female" 61.9 1.54 1.95 1150 16.4 2.7 "3" 26.1
"154" "Female" 52 1.61 1.32 1082 27.9 2 "2" 20.06
"155" "Male" 113.4 1.71 0.83 530 24 2.3 "1" 38.78
"156" "Male" 62.9 1.98 1.42 886 28.5 3.4 "2" 16.04
"157" "Female" 40.4 1.8 1.23 913 30 2.1 "2" 12.47
"158" "Female" 67.1 1.75 0.67 362 31.8 2.7 "1" 21.91
"159" "Male" 70 1.61 1.3 1201 23.9 2.5 "1" 27.01
"160" "Female" 69.5 1.75 1.02 711 27.6 2.1 "1" 22.69
"161" "Male" 107.9 1.66 1.08 832 29.5 2.8 "2" 39.16
"162" "Male" 109 1.91 1.49 1151 26 2.2 "2" 29.88
"163" "Male" 101 1.91 1.36 1070 29.3 2.7 "2" 27.69
"164" "Male" 88.5 1.85 1.57 1119 11 3.5 "3" 25.86
"165" "Male" 80.9 1.8 1.55 1074 10.7 3.5 "3" 24.97
"166" "Female" 43.1 1.62 1.04 837 33.6 1.8 "2" 16.42
"167" "Female" 59.1 1.52 1.58 967 18.4 2.7 "3" 25.58
"168" "Female" 54 1.53 1.14 844 26.9 1.7 "1" 23.07
"169" "Female" 72.3 1.78 1.27 852 27.7 1.8 "1" 22.82
"170" "Male" 51.1 1.98 0.92 574 28 2.4 "1" 13.03
"171" "Male" 89.4 1.72 1.08 813 24.5 3.2 "1" 30.22
"172" "Male" 51.5 1.8 1.09 680 26.7 2.1 "2" 15.9
"173" "Male" 87.9 1.88 1.52 1195 11.6 3.5 "3" 24.87
"174" "Female" 42 1.52 1.1 644 28.8 2.2 "1" 18.18
"175" "Male" 79.2 1.72 1.46 925 29.9 3.3 "1" 26.77
"176" "Male" 64.8 1.71 1.2 778 22.5 2.8 "2" 22.16
"177" "Female" 63 1.78 1.58 1095 17.5 2.7 "3" 19.88
"178" "Female" 56.2 1.77 0.68 418 33.4 2.6 "1" 17.94
"179" "Female" 52.9 1.64 1.1 767 27.4 2.3 "2" 19.67
"180" "Female" 49 1.69 1.05 772 29.2 2.4 "1" 17.16
"181" "Male" 128.2 1.84 0.83 603 26.2 2.3 "1" 37.87
"182" "Male" 83.6 1.86 1.54 1082 12.4 3.5 "3" 24.16
"183" "Female" 56.2 1.77 1.81 1249 17.3 2.7 "3" 17.94
"184" "Male" 87.8 1.78 1.28 1133 23.6 3.3 "1" 27.71
"185" "Male" 85.9 1.85 1.66 1424 12.9 3.5 "3" 25.1
"186" "Male" 51.1 1.87 1.44 1126 26.2 3.4 "2" 14.61
"187" "Female" 57.4 1.71 1.87 1337 18.3 2.7 "3" 19.63
"188" "Male" 114.9 1.92 1.2 802 20.7 2.6 "2" 31.17
"189" "Female" 62.1 1.66 1.37 937 31.3 1.8 "2" 22.54
"190" "Male" 57.1 1.91 1.09 707 29.5 2.7 "2" 15.65
"191" "Male" 68.1 1.8 1.1 926 25.4 3.3 "2" 21.02
"192" "Male" 69.2 1.65 1.23 852 27.2 2.7 "1" 25.42
"193" "Female" 65.2 1.52 1.23 800 30.6 2.4 "1" 28.22
"194" "Male" 108.6 1.73 1.33 988 28.5 2.2 "1" 36.29
"195" "Female" 40 1.65 1.03 686 34.3 2.5 "2" 14.69
"196" "Female" 41.9 1.58 0.56 370 26.8 1.8 "1" 16.78
"197" "Female" 68.3 1.52 1.45 979 29.4 1.8 "2" 29.56
"198" "Male" 88.4 1.6 1.71 1138 12 3.5 "3" 34.53
"199" "Male" 66 1.9 1.18 1025 24.1 3 "1" 18.28
"200" "Male" 71.9 1.64 1.26 929 21.3 2.1 "2" 26.73
"201" "Male" 75.6 1.71 1.03 663 28.1 2 "2" 25.85
"202" "Female" 63.4 1.59 1.84 1267 15.2 2.7 "3" 25.08
"203" "Female" 71.6 1.77 1.49 1177 30.3 1.8 "1" 22.85
"204" "Female" 57.4 1.77 1.08 598 31.6 2.1 "2" 18.32
"205" "Male" 83.8 1.99 1.79 1280 11 3.5 "3" 21.16
"206" "Female" 55.9 1.71 1.95 1443 19.5 2.7 "3" 19.12
"207" "Male" 87 1.76 1.2 799 28.4 3.5 "2" 28.09
"208" "Female" 65.3 1.71 1.18 796 29.7 2.5 "2" 22.33
"209" "Male" 45.4 1.67 1.37 1071 24.1 2.8 "2" 16.28
"210" "Male" 87.1 1.87 1.71 1241 11.2 3.5 "3" 24.91
"211" "Female" 78.6 1.73 1.47 1147 32.3 1.5 "2" 26.26
"212" "Female" 78 1.71 1.08 734 26.3 2.1 "1" 26.67
"213" "Female" 58 1.53 1.83 1153 18.4 2.7 "3" 24.78
"214" "Female" 71.3 1.69 1.28 1043 33.4 2.3 "2" 24.96
"215" "Male" 49.1 1.74 1.11 842 22.3 2.6 "2" 16.22
"216" "Female" 78.3 1.65 1.24 703 33.7 1.6 "1" 28.76
"217" "Female" 57.3 1.64 1.13 887 25.3 1.8 "2" 21.3
"218" "Female" 48.4 1.61 1.28 732 34.1 2.4 "1" 18.67
"219" "Male" 76.4 1.62 1.35 980 21.2 2.6 "2" 29.11
"220" "Male" 110.2 1.77 1.19 1021 26.5 3.4 "1" 35.18
"221" "Female" 72.9 1.76 1.21 732 27.5 1.9 "2" 23.53
"222" "Male" 82.1 1.86 1.87 1481 14.2 3.5 "3" 23.73
"223" "Female" 58.9 1.76 0.63 410 30.1 1.7 "1" 19.01
"224" "Male" 82.2 1.87 1.57 1111 10.7 3.5 "3" 23.51
"225" "Male" 96.7 1.72 1.46 903 25.7 2.7 "2" 32.69
"226" "Male" 81.4 1.86 1.8 1292 12 3.5 "3" 23.53
"227" "Male" 107.8 1.73 1.09 680 26.6 2.8 "2" 36.02
"228" "Female" 65.8 1.62 1 790 33.8 1.5 "2" 25.07
"229" "Female" 68.5 1.56 1.45 900 29.1 1.6 "2" 28.15
"230" "Female" 63.9 1.59 1.87 1169 16.4 2.7 "3" 25.28
"231" "Male" 76.3 1.62 1.16 1034 20.1 2.3 "2" 29.07
"232" "Female" 44.5 1.65 1.44 959 30.7 1.6 "1" 16.35
"233" "Female" 50.7 1.75 1.29 940 29 1.9 "2" 16.56
"234" "Female" 55.1 1.61 1.55 1224 16.9 2.7 "3" 21.26
"235" "Male" 73.7 1.61 1.36 815 21.8 3.6 "2" 28.43
"236" "Male" 55.6 1.77 1.2 820 24.3 2.9 "2" 17.75
"237" "Male" 86.9 1.76 1.13 688 29.8 3.1 "2" 28.05
"238" "Female" 60.3 1.68 1.6 900 16.5 2.7 "3" 21.36
"239" "Female" 40.4 1.64 0.99 832 31 1.9 "1" 15.02
"240" "Female" 78.5 1.66 1.29 1006 32.8 1.9 "2" 28.49
"241" "Male" 102.6 1.72 0.82 597 27.5 2 "1" 34.68
"242" "Male" 110.8 1.91 1.31 1074 23.3 2.9 "1" 30.37
"243" "Female" 60.9 1.79 1.11 699 31.1 2.1 "1" 19.01
"244" "Male" 55.7 1.61 1.41 993 28.7 2.3 "1" 21.49
"245" "Male" 110.5 1.92 1.16 919 20.2 3.3 "2" 29.98
"246" "Male" 55.2 1.71 0.77 579 24.4 2.8 "1" 18.88
"247" "Male" 46.5 1.72 1.4 832 22.2 2.6 "2" 15.72
"248" "Female" 70.9 1.66 0.81 506 28.9 1.7 "1" 25.73
"249" "Male" 74.6 1.75 1.09 739 24.2 2.9 "1" 24.36
"250" "Male" 45.1 1.72 0.93 594 27.5 3.3 "1" 15.24
"251" "Male" 99.9 1.99 1.33 1075 20.9 2.5 "1" 25.23
"252" "Male" 117 1.61 1.04 744 25.1 2.4 "2" 45.14
"253" "Female" 75.9 1.73 1.39 1056 30.6 2.1 "2" 25.36
"254" "Female" 71.2 1.64 1.11 666 29.9 1.7 "2" 26.47
"255" "Male" 78.8 1.72 1.01 660 27.3 3.1 "2" 26.64
"256" "Male" 50.6 1.69 1.31 1012 23.8 3 "1" 17.72
"257" "Male" 82.5 1.79 1.69 1163 14.7 3.5 "3" 25.75
"258" "Male" 108.5 1.79 1.33 878 24.8 2.1 "2" 33.86
"259" "Male" 49.9 1.98 1.15 772 25.7 2.1 "2" 12.73
"260" "Male" 125.1 1.91 0.52 353 28.3 3.1 "1" 34.29
"261" "Female" 79.7 1.66 1.06 763 27.8 1.9 "1" 28.92
"262" "Male" 126.8 1.63 0.96 632 20.8 2.1 "1" 47.72
"263" "Female" 54.6 1.57 1.31 982 32.1 2.4 "1" 22.15
"264" "Female" 47.8 1.54 1.34 880 29.8 1.9 "2" 20.16
"265" "Male" 97.9 1.91 1.01 680 29 2.8 "2" 26.84
"266" "Female" 63.1 1.54 1.36 1010 34.8 1.8 "2" 26.61
"267" "Female" 72.4 1.69 1.07 713 29 2.3 "2" 25.35
"268" "Female" 58.9 1.7 1.52 1060 17.1 2.7 "3" 20.38
"269" "Female" 50.4 1.6 1.03 803 29.1 1.9 "2" 19.69
"270" "Female" 64.2 1.59 1.63 1182 16.6 2.7 "3" 25.39
"271" "Female" 58.8 1.77 1.4 952 32.8 2.7 "1" 18.77
"272" "Male" 105.2 1.62 1.36 949 27.6 3.2 "1" 40.09
"273" "Female" 45.9 1.5 0.92 662 29.8 1.7 "1" 20.4
"274" "Female" 65.2 1.63 1.12 610 25.4 2 "2" 24.54
"275" "Female" 56.3 1.79 1.52 964 16.5 2.7 "3" 17.57
"276" "Male" 90 1.7 0.81 497 22.9 2.7 "1" 31.14
"277" "Female" 60 1.7 1.97 1212 19.1 2.7 "3" 20.76
"278" "Male" 51.5 1.71 1.48 1136 20.9 2.9 "1" 17.61
"279" "Female" 63.1 1.64 1.54 962 19 2.7 "3" 23.46
"280" "Male" 91.5 1.77 0.8 616 26.7 3.4 "1" 29.21
"281" "Male" 48.7 1.67 1.39 1009 27.3 3 "1" 17.46
"282" "Female" 57.8 1.56 1.35 1053 29.3 1.6 "2" 23.75
"283" "Female" 42 1.75 0.83 598 31.8 2.3 "1" 13.71
"284" "Male" 128.4 1.92 0.63 502 26.1 2 "1" 34.83
"285" "Female" 74.2 1.57 1.47 1161 32.7 2.4 "1" 30.1
"286" "Male" 89.6 1.68 1.79 1232 12.2 3.5 "3" 31.75
"287" "Male" 125.9 2 1.36 1137 24.7 3.1 "2" 31.48
"288" "Male" 105.5 1.99 0.81 593 26.4 2.5 "1" 26.64
"289" "Male" 93.4 1.7 1.1 938 21.1 2.5 "2" 32.32
"290" "Male" 82.1 1.84 1.37 922 24.4 3.4 "2" 24.25
"291" "Female" 42.9 1.69 0.9 567 34.7 2.4 "1" 15.02
"292" "Male" 128.4 1.68 1.13 923 20.4 2.6 "2" 45.49
"293" "Male" 112.4 1.96 1.42 1054 23.2 2.5 "1" 29.26
"294" "Female" 77.7 1.79 1.41 1047 28.1 2.2 "1" 24.25
"295" "Male" 89.3 1.99 1.4 936 26.3 2 "2" 22.55
"296" "Female" 70.3 1.55 1.4 876 26.1 1.6 "1" 29.26
"297" "Female" 59.1 1.72 1.07 792 31.3 1.7 "2" 19.98
"298" "Female" 49.9 1.69 1.48 979 26 1.7 "2" 17.47
"299" "Male" 101.7 1.67 0.53 333 20.9 2.9 "1" 36.47
"300" "Male" 93 1.91 1.03 729 27.3 3.7 "2" 25.49
"301" "Male" 87.4 1.6 0.77 465 23.2 3.1 "1" 34.14
"302" "Female" 55.1 1.61 1.62 1166 19.9 2.7 "3" 21.26
"303" "Male" 123.7 1.69 1.3 987 20.4 2.1 "2" 43.31
"304" "Female" 61.3 1.57 1.94 1474 17.2 2.7 "3" 24.87
"305" "Male" 72.3 1.94 1.46 874 21.1 2.9 "2" 19.21
"306" "Female" 69.2 1.53 1.36 911 28.5 2.1 "1" 29.56
"307" "Male" 81.4 1.61 1.14 796 30 2.2 "2" 31.4
"308" "Male" 84.8 1.86 1.85 1181 14.4 3.5 "3" 24.51
"309" "Male" 55.1 1.72 1.43 970 20.5 3.6 "2" 18.62
"310" "Female" 59 1.78 1.67 1177 17.8 2.7 "3" 18.62
"311" "Female" 64.9 1.51 1.83 1359 18.2 2.7 "3" 28.46
"312" "Male" 109.7 1.75 1.01 840 22.1 2.7 "1" 35.82
"313" "Male" 78.4 1.9 0.81 585 21.5 3.7 "1" 21.72
"314" "Female" 76.7 1.79 1.4 832 34 2 "2" 23.94
"315" "Female" 63.1 1.61 1 684 34.7 2.2 "2" 24.34
"316" "Female" 62.9 1.58 1.98 1105 20 2.7 "3" 25.2
"317" "Male" 85.6 1.74 1.84 1321 13.9 3.5 "3" 28.27
"318" "Female" 66.3 1.57 1.25 742 31.6 1.6 "1" 26.9
"319" "Male" 61.3 1.97 1.37 1100 23.5 2.8 "1" 15.8
"320" "Female" 44.1 1.65 1.16 694 26.7 1.8 "2" 16.2
"321" "Male" 63.8 1.62 1.3 1022 20.8 3.4 "1" 24.31
"322" "Female" 55.4 1.55 1.85 1016 18.5 2.7 "3" 23.06
"323" "Female" 74.7 1.58 1.04 863 32.8 2.4 "2" 29.92
"324" "Female" 78 1.67 1.13 949 33.3 2.5 "2" 27.97
"325" "Female" 57.5 1.67 1.14 764 34.1 2.4 "1" 20.62
"326" "Female" 60.7 1.73 1.03 714 33.8 2.5 "2" 20.28
"327" "Male" 69 1.74 1.48 1223 30 2.3 "2" 22.79
"328" "Female" 75.8 1.78 1.42 944 27.4 2 "2" 23.92
"329" "Female" 75.7 1.63 0.69 407 32.6 2.3 "1" 28.49
"330" "Female" 71.2 1.64 1.42 939 30.9 2.3 "2" 26.47
"331" "Male" 85 1.68 1.82 1468 11.3 3.5 "3" 30.12
"332" "Female" 63.6 1.56 1.22 903 34.8 2.4 "1" 26.13
"333" "Male" 73.2 1.94 0.81 722 29 2.4 "1" 19.45
"334" "Female" 48.3 1.52 0.96 653 26.3 1.6 "1" 20.91
"335" "Female" 42.8 1.78 1.49 1066 25.3 2.6 "2" 13.51
"336" "Male" 88.1 1.76 1.35 1123 26.9 3 "2" 28.44
"337" "Female" 72.4 1.75 1.2 840 31 1.7 "2" 23.64
"338" "Male" 73.2 1.88 1.17 822 29.4 3.3 "1" 20.71
"339" "Male" 110.5 1.86 1.42 1086 22.3 3.6 "1" 31.94
"340" "Female" 46.1 1.76 1.44 842 25.8 1.7 "2" 14.88
"341" "Male" 90.8 1.71 1.07 810 22.6 3.4 "2" 31.05
"342" "Female" 59.3 1.51 1.7 1096 15.1 2.7 "3" 26.01
"343" "Female" 45.1 1.73 0.83 482 25.4 2.6 "1" 15.07
"344" "Male" 45 1.77 1.48 1187 29.1 3.6 "2" 14.36
"345" "Male" 89.4 1.62 1.43 885 23.5 3.6 "2" 34.06
"346" "Male" 127.7 1.69 1.14 875 24.1 2.9 "2" 44.71
"347" "Male" 70.9 1.72 1.31 927 20.2 2.6 "2" 23.97
"348" "Female" 49.2 1.5 1.15 678 27.7 1.5 "2" 21.87
"349" "Female" 62.3 1.79 1.99 1451 19 2.7 "3" 19.44
"350" "Male" 64.1 1.87 0.64 500 26.2 2.1 "1" 18.33
"351" "Female" 69.7 1.75 1.41 1029 32.5 2 "1" 22.76
"352" "Female" 56.9 1.59 1.49 1100 29.5 2 "2" 22.51
"353" "Female" 53 1.71 1.13 881 28.1 1.7 "2" 18.13
"354" "Female" 72.7 1.55 0.84 525 29.8 2 "1" 30.26
"355" "Male" 76.5 1.96 0.67 442 23.2 2.3 "1" 19.91
"356" "Male" 113.6 1.99 1.38 949 28.4 3.4 "1" 28.69
"357" "Female" 62.5 1.62 1.56 1318 16.5 2.7 "3" 23.81
"358" "Male" 95.2 1.86 0.64 496 26.6 2.5 "1" 27.52
"359" "Male" 51.7 1.82 0.9 792 21.4 3 "1" 15.61
"360" "Male" 105.3 1.67 0.57 448 26.9 2.9 "1" 37.76
"361" "Female" 71.2 1.68 1.37 888 34.1 1.6 "1" 25.23
"362" "Female" 78.1 1.51 0.92 555 31.1 2.6 "1" 34.25
"363" "Female" 50.6 1.68 1.21 877 30.6 2.1 "2" 17.93
"364" "Male" 70.2 1.89 0.7 440 29.6 2.6 "1" 19.65
"365" "Female" 62.6 1.53 1.93 1380 18.1 2.7 "3" 26.74
"366" "Female" 60.6 1.65 0.92 768 27.6 1.7 "1" 22.26
"367" "Male" 76.4 1.97 1.14 886 22.9 2.6 "2" 19.69
"368" "Female" 63.3 1.71 1.88 1175 18.5 2.7 "3" 21.65
